Number or species;S0 Promotor Range;S0 Promotor Influence;S0 Demotor Range;S0 Demotor Influence;S1 Promotor Range;S1 Promotor Influence;S1 Demotor Range;S1 Demotor Influence;Number of iterations;Simulation time;OP iter 0;OP iter 1;OP iter 2;OP iter 3;OP iter 4;OP iter 5;OP iter 6;OP iter 7;OP iter 8;OP iter 9;OP iter 10;OP iter 11;OP iter 12;OP iter 13;OP iter 14;OP iter 15;OP iter 16;OP iter 17;OP iter 18;OP iter 19;OP iter 20;OP iter 21;OP iter 22;OP iter 23;OP iter 24;OP iter 25;OP iter 26;OP iter 27;OP iter 28;OP iter 29;OP iter 30;OP iter 31;OP iter 32;OP iter 33;OP iter 34;OP iter 35;OP iter 36;OP iter 37;OP iter 38;OP iter 39;OP iter 40;OP iter 41;OP iter 42;OP iter 43;OP iter 44;OP iter 45;OP iter 46;OP iter 47;OP iter 48;OP iter 49;
2;3.2;0.5;6;-0.3;3.2;1;6;-0.2;50;2.9951043;0.0005040137;0.6551472;0.7314684;0.746614;0.751697;0.754544;0.755934;0.75686944;0.75769246;0.75823563;0.7586193;0.7588591;0.7589629;0.7589949;0.75900275;0.7590108;0.7590026;0.7590106;0.75905854;0.75909835;0.75914633;0.7592267;0.7592746;0.7592828;0.7592829;0.7592909;0.75930697;0.75930697;0.75930697;0.759323;0.759323;0.759323;0.759331;0.759331;0.759331;0.759331;0.759331;0.759331;0.759331;0.759331;0.759331;0.759331;0.759331;0.759331;0.759331;0.759331;0.759331;0.759331;0.759331;0.759331;0.759331;
2;3.2;0.5;6;-0.29000002;3.2;1;6;-0.2;50;2.9692676;-0.0005600594;0.65575945;0.7321515;0.74803394;0.75283885;0.7556904;0.75743204;0.7584795;0.7593032;0.75994134;0.7601813;0.7604684;0.76071626;0.76089156;0.7610112;0.761075;0.761091;0.7610909;0.7610989;0.7610989;0.7610989;0.7610989;0.7610989;0.7610989;0.7610989;0.7610989;0.7610989;0.7610989;0.7610989;0.7610989;0.7610989;0.7610989;0.7610989;0.7610989;0.7610989;0.7610989;0.7610989;0.7610989;0.7610989;0.7610989;0.7610989;0.7610989;0.7610989;0.7610989;0.7610989;0.7610989;0.7610989;0.7610989;0.7610989;0.7610989;0.7610989;
2;3.2;0.5;6;-0.28000003;3.2;1;6;-0.2;50;2.9939198;-0.00012003204;0.65275514;0.7312622;0.7463479;0.75124854;0.7542202;0.75554633;0.7564663;0.7571536;0.757569;0.75789666;0.75812024;0.7581759;0.758288;0.7584077;0.7584556;0.7584715;0.75847954;0.75847954;0.7584874;0.7584874;0.7584874;0.7584874;0.7584874;0.7584874;0.7584874;0.7584874;0.7584874;0.7584874;0.7584874;0.7584874;0.7584874;0.7584874;0.7584874;0.7584874;0.7584874;0.7584874;0.7584874;0.7584874;0.7584874;0.7584874;0.7584874;0.7584874;0.7584874;0.7584874;0.7584874;0.7584874;0.7584874;0.7584874;0.7584874;0.7584874;
2;3.2;0.5;6;-0.27000004;3.2;1;6;-0.2;50;3.000389;0.00039197286;0.6529358;0.7307119;0.74458593;0.7494179;0.7520955;0.7534461;0.7541875;0.75473917;0.7551221;0.755458;0.75580156;0.75604963;0.7562015;0.7562815;0.75629747;0.75638556;0.75647354;0.75647354;0.7564975;0.75650555;0.7565216;0.7565216;0.7565216;0.7565216;0.7565216;0.7565216;0.7565216;0.7565216;0.7565216;0.7565216;0.7565216;0.7565216;0.7565216;0.7565216;0.7565216;0.7565216;0.7565216;0.7565216;0.7565216;0.7565216;0.7565216;0.7565216;0.7565216;0.7565216;0.7565216;0.7565216;0.7565216;0.7565216;0.7565216;0.7565216;
2;3.2;0.5;6;-0.26000005;3.2;1;6;-0.2;50;3.00385;0.0012319515;0.6566234;0.7371385;0.7510144;0.75596446;0.7584497;0.759898;0.76065654;0.7614556;0.76186335;0.7621662;0.7624292;0.76267684;0.7628691;0.7629411;0.7630286;0.76310843;0.7631803;0.76318806;0.7632121;0.76324415;0.7632682;0.7632682;0.7632682;0.7632682;0.7632682;0.7632682;0.7632682;0.7632682;0.7632682;0.7632682;0.7632682;0.7632682;0.7632682;0.7632682;0.7632682;0.7632682;0.7632682;0.7632682;0.7632682;0.7632682;0.7632682;0.7632682;0.7632682;0.7632682;0.7632682;0.7632682;0.7632682;0.7632682;0.7632682;0.7632682;
2;3.2;0.5;6;-0.25000006;3.2;1;6;-0.2;50;3.008551;0.0012079646;0.6527389;0.73089194;0.74586296;0.75031936;0.75299877;0.75502074;0.7563081;0.7571153;0.7575548;0.7576908;0.75782675;0.7579386;0.7580344;0.7581141;0.758218;0.75834584;0.75840974;0.7584177;0.75840974;0.7584257;0.7584417;0.7584417;0.7584417;0.7584417;0.7584417;0.7584417;0.7584417;0.7584417;0.7584417;0.7584417;0.7584417;0.7584417;0.7584417;0.7584417;0.7584417;0.7584417;0.7584417;0.7584417;0.7584417;0.7584417;0.7584417;0.7584417;0.7584417;0.7584417;0.7584417;0.7584417;0.7584417;0.7584417;0.7584417;0.7584417;
2;3.2;0.5;6;-0.24000005;3.2;1;6;-0.2;50;3.0093484;-0.00064404897;0.65519595;0.7316069;0.74489826;0.7499578;0.75273144;0.7544507;0.7554193;0.75626606;0.75691366;0.75732946;0.75750524;0.7576084;0.75775254;0.757841;0.75790495;0.75798476;0.7580725;0.7581126;0.75816864;0.7581926;0.7581926;0.7581926;0.7581926;0.7581926;0.7581926;0.7581926;0.7581926;0.7581926;0.7581926;0.7581926;0.7581926;0.7581926;0.7581926;0.7581926;0.7581926;0.7581926;0.7581926;0.7581926;0.7581926;0.7581926;0.7581926;0.7581926;0.7581926;0.7581926;0.7581926;0.7581926;0.7581926;0.7581926;0.7581926;0.7581926;
2;3.2;0.5;6;-0.23000005;3.2;1;6;-0.2;50;2.9884326;0.0005599723;0.65144694;0.7325108;0.74702495;0.75169283;0.75404084;0.75547814;0.75645334;0.7574289;0.7580439;0.7584514;0.75875497;0.75895536;0.75917107;0.7592266;0.7592905;0.75936234;0.75944227;0.7594902;0.7595062;0.7595062;0.7595062;0.7595062;0.7595062;0.7595062;0.7595062;0.7595062;0.7595062;0.7595062;0.7595062;0.7595062;0.7595062;0.7595062;0.7595062;0.7595062;0.7595062;0.7595062;0.7595062;0.7595062;0.7595062;0.7595062;0.7595062;0.7595062;0.7595062;0.7595062;0.7595062;0.7595062;0.7595062;0.7595062;0.7595062;0.7595062;
2;3.2;0.5;6;-0.22000004;3.2;1;6;-0.2;50;3.0141337;-0.0015080067;0.65231943;0.73002684;0.747461;0.75246453;0.7551404;0.75669783;0.75780886;0.758328;0.75875145;0.7590711;0.7592545;0.75946206;0.7596303;0.75971;0.759718;0.75978196;0.75978196;0.759798;0.759806;0.759798;0.759806;0.75981396;0.75982195;0.75982195;0.75982195;0.75982195;0.75982195;0.75982195;0.75982195;0.75982195;0.75982195;0.75982195;0.75982195;0.75982195;0.75982195;0.75982195;0.75982195;0.75982195;0.75982195;0.75982195;0.75982195;0.75982195;0.75982195;0.75982195;0.75982195;0.75982195;0.75982195;0.75982195;0.75982195;0.75982195;
2;3.2;0.5;6;-0.21000004;3.2;1;6;-0.2;50;3.0324733;-0.001520018;0.652998;0.73229;0.74612874;0.750916;0.75347424;0.75517637;0.7564952;0.757231;0.7579823;0.7585184;0.7588772;0.75916463;0.75938016;0.7596203;0.7598202;0.75995624;0.7600038;0.76005155;0.7600915;0.7601075;0.7601235;0.76012355;0.76012343;0.76012343;0.76012343;0.76012343;0.76012343;0.76012343;0.76012343;0.76012343;0.76012343;0.76012343;0.76012343;0.76012343;0.76012343;0.76012343;0.76012343;0.76012343;0.76012343;0.76012343;0.76012343;0.76012343;0.76012343;0.76012343;0.76012343;0.76012343;0.76012343;0.76012343;0.76012343;0.76012343;
